Section,Task,Start Date,End Date,Urgency
work,Grant application impact part,2025-08-22,2025-08-22,urgent
work,Delegating jobs to our grant partners,2025-08-22,2025-08-22,urgent
personal,Get a refund on my train ticket,2025-08-22,,not urgent
personal,call skat dk,2025-08-22,,not urgent
work,BioTechX posters,2025-08-22,,not urgent
work,Find the problem our potential partners are facing and then adjust the pitchdeck,2025-08-22,2025-09-08,not urgent
work,Meet with gianvito and sertac to talk about strategy and next steps,2025-08-22,,not urgent
personal,TV is coming tuesday,2025-08-22,2025-09-02,not urgent
personal,Veneer coming,2025-08-22,2025-08-25,not urgent
personal,Close my santander account,2025-08-22,,not urgent
personal,Drivers license eye check appointment,2025-08-22,,not urgent
work,Eurostar Grant application discussion,2025-08-22,2025-08-22,urgent
work,Python Activity Report,2025-09-01,2025-09-01,not urgent